"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",0.125015116458195,0.125014001613021,0.124986000492936,0.124984886427293,0.125015113961566,0.125013999116459,0.124985997998053,0.124984883932477
"2",0.159943738116378,0.159343354914713,0.1149728379856,0.114748905879639,0.125664952563124,0.125372477286317,0.100050790839725,0.0999029424145031
"3",0.34975234792331,0.135015820609659,0.0855816728896414,0.0680430926977718,0.159556637610803,0.0920423015482683,0.0595586595034316,0.050449467217114
"4",0.446894594190925,0.235709058368925,0.061167495509127,0.0478602502747451,0.0991264358974679,0.0501539853738545,0.0330144546086116,0.0260737257763435
"5",0.437764120493187,0.394172643119813,0.0297821456949091,0.0235733960575972,0.0562497230168587,0.0266573412304294,0.017186941147627,0.0146136892395788
"6",0.581496134102478,0.329262571522275,0.0148295154918109,0.00959703968036375,0.034800580787219,0.0123988732465177,0.0106598829956268,0.00695540217370932
"7",0.174873663295508,0.551755616423652,0.0420303091590914,0.0275427382667559,0.103692405003326,0.0446353559149903,0.0335496501394262,0.0219202617972501
"8",0.139047300375365,0.737932225082394,0.0189964893075503,0.0136941207746985,0.0414191937656228,0.0201035864871776,0.017886566779348,0.0109205174278435
"9",0.104362975450584,0.82293282271497,0.00874161290723958,0.00624964573157451,0.0200007746539438,0.0228285627213007,0.00987828255963785,0.00500532326074953
"10",0.429117659562181,0.203062249427527,0.0559276877086031,0.0271272762239791,0.131165833728197,0.00271672086951359,0.12185871594293,0.0290238565370701
"11",0.218053207237331,0.000172382978445856,0.0822828021494381,0.0583252675263707,0.449739928644362,0.00303373563983885,0.129093157956941,0.0592995178672723
"12",0.204640843042967,0.000269291520692319,0.0658932737114621,0.0759697844343334,0.350923600022284,0.00280558990111362,0.232156997886162,0.0673406194809853
"13",0.202702923166465,0.000313328223441637,0.0598330214499027,0.119520382185395,0.364778250198595,0.0037365150493394,0.165002409343122,0.0841131703837398
